category,department,expense_category,exp_type_category,expense_name,amount,fund_key
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,PT/LTE/SEASONAL WAGES,23400,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,SALARIES & WAGES - FIRE,1786160,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,TAXABLE CLOTHING ALLOWANCE,7500,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,WRS,365801,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,8500,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,PROFESSIONAL SERVICES,515,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,PUBLIC NOTICES/ADS,515,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,19550,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,19500,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,12000,general
Fire/EMS,Fire Department,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",20675,general
Fire/EMS,Fire Department,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,26045,general
Fire/EMS,Fire Department,"Training,Travel, Tuition","Training,Travel, Tuition",TUITION REIMBURSEMENT,20155,general
Fire/EMS,Fire Department,Uniforms & Protective Gear,Uniforms & Protective Gear,PROTECTIVE GEAR,66545,general
Fire/EMS,Fire Department,Uniforms & Protective Gear,Uniforms & Protective Gear,UNIFORMS,11800,general
Fire/EMS,Fire Department,Utilities,Utilities,UTILITIES,29355,general
Fire/EMS,Fire Department,Utilities,Utilities,UTILITIES,37500,general
Fire/EMS,Fire Department,Utilities,Utilities,UTILITIES,7060,general
Fire/EMS,Fire Department,Vehicle Expense,Vehicle Expense,LEVY-FD FLEET VEHICLES,17569,capital
Fire/EMS,Fire Department,Vehicle Expense,Vehicle Expense,LEVY-FIRE WATER TENDERS,47641,capital
Fire/EMS,Fire Department,Vehicle Expense,"Vehicle Expense, Gas, Fuel","VEHICLE EXPENSE (G&O, REPAIRS)",60000,general
Fire/EMS,Other Public Safety,DaneCom System,DaneCom System,DANE COM/ANALOG TACTICAL,146500,general
Fire/EMS,Other Public Safety,EMS,EMS,FITCHRONA EMS CONTRIBUTION,1450629,general
Fire/EMS,Other Public Safety,EMS,EMS,LEVY-EMS FLEET REPLACEMENT,131752,capital
Fire/EMS,Other Public Safety,EMS,EMS,WEIGHTS & MEASURES,6000,general
Fire/EMS,Other Public Safety,Salary & Benefits,Salary & Benefits,PER DIEMS - POLICE & FIRE COMM,1500,general
General Government,Admin,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,100,general
General Government,Admin,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,300,general
General Government,Admin,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,350,general
